OM_SizeClass,SiteID,NumericDate,Watershed.x,Month,d15N,d13C,SampleID,dD,PerH,dD comments
DOM,1700,140910,Jordan,Sep,22.24,-30.7,148,-131.5,0.8,
DOM,2300,140912,Jordan,Sep,23.67,-26.46,147,-131.4,0.6,
DOM,3300,140912,Jordan,Sep,15.91,-27.01,144,-120.1,0.8,
DOM,7800,140910,Jordan,Sep,12.08,-28.69,142,-96.1,0.9,
DOM,Cudahy,140912,Jordan,Sep,23.1,-26.07,149,-128.7,0.8,
DOM,MillUp,140912,Jordan,Sep,9.5,-27.09,146,-109.9,0.4,
DOM,Ulake,140910,Jordan,Sep,3.49,-28.81,141,-116,0.8,
DOM,5400,140910,Jordan,Sep,9.95,-25.86,143,-103.3,0.7,
DOM,LR_CanalGarff,140913,Logan,Sep,7.67,-28.65,163,-144.5,0.8,
DOM,LR_HWY252,140913,Logan,Sep,2.92,-25.66,164,-173.1,0.8,
DOM,LR_TonyGrove_BA,140904,Logan,Sep,3.34,-28.71,159,-174.9,0.9,
DOM,LR_WaterLab_AA,140904,Logan,Sep,2.7,-23.86,161,-189.3,0.6,
DOM,LR_Franklin_BA,140904,Logan,Sep,NA,NA,158,-201.4,0.5,
DOM,LR_MainSt_BA,140911,Logan,Sep,NA,NA,162,-190,0.8,
DOM,LR_Mendon_AA,140904,Logan,Sep,NA,NA,165,-164.1,0.9,
DOM,LR_Temple,140907,Logan,Sep,NA,NA,160,-186.5,0.7,
DOM,PR_ST_BA,140903,Provo,Sep,NA,NA,166,-141.7,1.6,
DOM,PR_CanyonView,140903,Provo,Sep,NA,NA,173,-170.7,0.7,
DOM,PR_BJ_AA,140903,Provo,Sep,4.22,-26.02,167,-135.4,1.1,
DOM,PR_CH_AA,140903,Provo,Sep,1.09,-25.97,171,-166.8,0.8,
DOM,PR_LM_BA,140903,Provo,Sep,5.85,-26.56,168,-137.9,1.1,
DOM,PR_SnakeCreekRR,140903,Provo,Sep,8.86,-27.76,170,-102.9,0.9,
DOM,PR_SpringCreek,140903,Provo,Sep,5.41,-27.27,169,-172.1,0.7,
DOM,PR_Vivian,140903,Provo,Sep,5.6,-26.6,172,-138.2,0.8,
DOM,RB_1300E,140901,Red Butte,Sep,7.5,-24.74,156,-170.2,0.7,
DOM,RB_900W_BA,140901,Red Butte,Sep,13.05,-28,157,-108,1,
DOM,RB_ARBR_AA,140901,Red Butte,Sep,1.39,-27.28,153,-101.7,1,
DOM,RB_CG_BA,140901,Red Butte,Sep,3.27,-28.07,154,-108,1,
DOM,RB_FD_AA,140901,Red Butte,Sep,3.41,-27.09,155,-100.4,1.2,
DOM,RB_KF_BA,140901,Red Butte,Sep,6.78,-24.72,150,-135.9,0.9,
DOM,RB_RBG_BA,140901,Red Butte,Sep,3.63,-28.18,152,-109,1,
DOM,RB_TM,140901,Red Butte,Sep,8.03,-25.26,151,-147.4,0.8,
FPOM,1700,140910,Jordan,Sep,7.065,-22.52,35,-162.1,0.8,
FPOM,2300,140912,Jordan,Sep,7.09,-17.7,32,-159.7,0.9,
FPOM,3300,140912,Jordan,Sep,5.595,-23.495,31,-162.7,0.8,
FPOM,5400,140910,Jordan,Sep,8.7,-22.025,30,-167.4,0.8,
FPOM,7800,140910,Jordan,Sep,5.645,-21.85,29,-168.5,0.7,
FPOM,MillDown,140912,Jordan,Sep,6.58,-23.69,33,-119.3,2.2,
FPOM,MillUp,140912,Jordan,Sep,7.51,-23.54,34,-161.8,1.1,
FPOM,Ulake,140910,Jordan,Sep,9.433333333,-9.923333333,28,-165.6,0.6,
FPOM,Cudahy,140912,Jordan,Sep,8.34,-20.96,36,-158.5,0.9,
FPOM,LR_HWY252,140913,Logan,Sep,5.4,-28.27,13,-175.5,1.1,
FPOM,LR_Mendon_AA,140904,Logan,Sep,7.58,-29.03,12,-202,1.2,
FPOM,LR_TonyGrove_BA,140904,Logan,Sep,3.82,-28.67,10,-204.6,1.5,
FPOM,LR_WaterLab_AA,140904,Logan,Sep,NA,NA,11,-169.1,0.8,
FPOM,PR_CanyonView,140903,Provo,Sep,NA,NA,21,-145,1.4,
FPOM,PR_BJ_AA,140903,Provo,Sep,4.89,-28.17,15,-138.2,1.5,
FPOM,PR_CH_AA,140903,Provo,Sep,4.88,-27.02,16,-185.9,1.9,
FPOM,PR_LM_BA,140903,Provo,Sep,5.44,-25.77,17,-169.2,0.8,
FPOM,PR_SnakeCreekRR,140903,Provo,Sep,6.995,-28.435,19,-149.6,1.1,
FPOM,PR_SpringCreek,140903,Provo,Sep,4.62,-28.3,18,-180,1.2,
FPOM,PR_ST_BA,140903,Provo,Sep,2.75,-25.77,14,-136.4,1.6,
FPOM,PR_Vivian,140903,Provo,Sep,9.71,-29.2,20,-168.1,1,
FPOM,RB_1300E,140901,Red Butte,Sep,NA,NA,26,-153,0.2,
FPOM,RB_900W_BA,140901,Red Butte,Sep,NA,NA,27,-154.7,0.8,
FPOM,RB_CG_BA,140901,Red Butte,Sep,NA,NA,25,-164.4,1.2,
FPOM,RB_RBG_BA,140901,Red Butte,Sep,NA,NA,23,-169,0.9,
FPOM,RB_ARBR_AA,140901,Red Butte,Sep,3.83,-26.84,24,-150.5,0.8,
FPOM,RB_FD_AA,140901,Red Butte,Sep,3.52,-28.16,9,-126.9,0.9,
