"","X.1","Endmember","Site.ID","NumericDate","Watershed.x","d15N","d13C","X","SampleID","dD","PerH","Comments","Sample.ID","Month","Watershed.y","TrayName"
"1",1,"DOM","1700",140910,"Jordan","22.24","-30.7",8,148,-131.5,0.8,"",148,"Sep","Jordan","15-Apr-15"
"2",2,"DOM","2300",140912,"Jordan","23.67","-26.46",7,147,-131.4,0.6,"",147,"Sep","Jordan","15-Apr-15"
"3",3,"DOM","3300",140912,"Jordan","15.91","-27.01",4,144,-120.1,0.8,"",144,"Sep","Jordan","15-Apr-15"
"4",5,"DOM","7800",140910,"Jordan","12.08","-28.69",2,142,-96.1,0.9,"",142,"Sep","Jordan","15-Apr-15"
"5",6,"DOM","Cudahy",140912,"Jordan","23.1","-26.07",9,149,-128.7,0.8,"",149,"Sep","Jordan","15-Apr-15"
"6",15,"DOM","MillUp",140912,"Jordan","9.5","-27.09",6,146,-109.9,0.4,"",146,"Sep","Jordan","15-Apr-15"
"7",16,"DOM","MillUp",140912,"Jordan","9.5","-27.09",5,145,-133.8,0.8,"",145,"Sep","Jordan","15-Apr-15"
"8",32,"DOM","Ulake",140910,"Jordan","3.49","-28.81",1,141,-116,0.8,"",141,"Sep","Jordan","15-Apr-15"
"9",4,"DOM","5400",140910,NA,"9.95","-25.86",3,143,-103.3,0.7,"",143,"Sep","Jordan","15-Apr-15"
"10",7,"DOM","LR_CanalGarff",140913,"Logan","7.67","-28.65",23,163,-144.5,0.8,"",163,"Sep","Logan River","15-Apr-15"
"11",9,"DOM","LR_HWY252",140913,"Logan","2.92","-25.66",24,164,-173.1,0.8,"",164,"Sep","Logan River","15-Apr-15"
"12",13,"DOM","LR_TonyGrove_BA",140904,"Logan","3.34","-28.71",19,159,-174.9,0.9,"",159,"Sep","Logan River","15-Apr-15"
"13",14,"DOM","LR_WaterLab_AA",140904,"Logan","2.7","-23.86",21,161,-189.3,0.6,"",161,"Sep","Logan River","15-Apr-15"
"14",8,"DOM","LR_Franklin_BA",140904,NA,NA,NA,18,158,-201.4,0.5,"",158,"Sep","Logan River","15-Apr-15"
"15",10,"DOM","LR_MainSt_BA",140911,NA,NA,NA,22,162,-190,0.8,"",162,"Sep","Logan River","15-Apr-15"
"16",11,"DOM","LR_Mendon_AA",140904,NA,NA,NA,25,165,-164.1,0.9,"",165,"Sep","Logan River","15-Apr-15"
"17",12,"DOM","LR_Temple",140907,NA,NA,NA,20,160,-186.5,0.7,"",160,"Sep","Logan River","15-Apr-15"
"18",22,"DOM","PR_ST_BA",140903,NA,NA,NA,26,166,-141.7,1.6,"",166,"Sep","Provo River","15-Apr-15"
"19",33,"DOM","PR_CanyonViewPark",140903,NA,NA,NA,33,173,-170.7,0.7,"",173,"Sep","Provo River","15-Apr-15"
"20",17,"DOM","PR_BJ_AA",140903,"Provo","4.22","-26.02",27,167,-135.4,1.1,"",167,"Sep","Provo River","15-Apr-15"
"21",18,"DOM","PR_CH_AA",140903,"Provo","1.09","-25.97",31,171,-166.8,0.8,"",171,"Sep","Provo River","15-Apr-15"
"22",19,"DOM","PR_LM_BA",140903,"Provo","5.85","-26.56",28,168,-137.9,1.1,"",168,"Sep","Provo River","15-Apr-15"
"23",20,"DOM","PR_SnakeCreekRR",140903,"Provo","8.86","-27.76",30,170,-102.9,0.9,"",170,"Sep","Provo River","15-Apr-15"
"24",21,"DOM","PR_SpringCreek",140903,"Provo","5.41","-27.27",29,169,-172.1,0.7,"",169,"Sep","Provo River","15-Apr-15"
"25",23,"DOM","PR_Vivian",140903,"Provo","5.6","-26.6",32,172,-138.2,0.8,"",172,"Sep","Provo River","15-Apr-15"
"26",24,"DOM","RB_1300E",140901,"Red Butte","7.5","-24.74",16,156,-170.2,0.7,"",156,"Sep","Red Butte","15-Apr-15"
"27",25,"DOM","RB_1300S",140901,"Red Butte","13.05","-28",17,157,-108,1,"",157,"Sep","Red Butte","15-Apr-15"
"28",26,"DOM","RB_ARBR_AA",140901,"Red Butte","1.39","-27.28",13,153,-101.7,1,"",153,"Sep","Red Butte","15-Apr-15"
"29",27,"DOM","RB_CG_BA",140901,"Red Butte","3.27","-28.07",14,154,-108,1,"",154,"Sep","Red Butte","15-Apr-15"
