,Watershed,Description,Endmember,Site.ID,Year,Month,NumericDate,Acidified,TrayName,SampleID,d13C,CAmountug,d15N,NAmountug,WellId,Total.amountug
1,Jordan,AcidDissolvedOrganic,DOM,1700,2014,Sep,140910,Yes,BiofilmDOMAprSep,B21700DOMSep,-30.7,138.79,22.24,74,B2,33540
11,Jordan,AcidDissolvedOrganic,DOM,7800,2014,Sep,140910,Yes,BiofilmDOMAprSep,A127800DOMSep,-28.69,142.69,12.08,26.15,A12,44020
19,Jordan,AcidDissolvedOrganic,DOM,Ulake,2014,Sep,140910,Yes,BiofilmDOMAprSep,B4UlakeDOMSep,-28.81,198,3.49,32.64,B4,48140
4,Jordan,AcidDissolvedOrganic,DOM,2300,2014,Sep,140912,Yes,BiofilmDOMAprSep,A112300DOMSep,-26.46,122.99,23.67,73.37,A11,35120
6,Jordan,AcidDissolvedOrganic,DOM,3300,2014,Sep,140912,Yes,BiofilmDOMAprSep,B13300DOMSep,-27.01,99.8,15.91,21.94,B1,34020
14,Jordan,AcidDissolvedOrganic,DOM,Cudahy,2014,Sep,140912,Yes,BiofilmDOMAprSep,B3CudahyDOMSep,-26.07,97.13,23.1,62.63,B3,30570
15,Jordan,AcidDissolvedOrganic,DOM,MillDown,2014,Sep,140912,Yes,BiofilmDOMAprSep,B5MillDDOMSep,-27.03,152.73,18.98,283.12,B5,37850
17,Jordan,AcidDissolvedOrganic,DOM,MillUp,2014,Sep,140912,Yes,BiofilmDOMAprSep,B6MillUpDOMSep,-27.09,71.44,9.5,39.16,B6,35130
31,Logan,AcidDissolvedOrganic,DOM,LR_TonyGrove_BA,2014,Sep,140904,Yes,BiofilmDOMAprSep,C8TonyGDOMSep,-28.71,412.13,3.34,31,C8,35820
33,Logan,AcidDissolvedOrganic,DOM,LR_WaterLab_AA,2014,Sep,140904,Yes,BiofilmDOMAprSep,E8WaterlabDOMSep,-23.86,84.39,2.7,21.52,E8,26600
23,Logan,AcidDissolvedOrganic,DOM,LR_CanalGarff,2014,Sep,140913,Yes,BiofilmDOMAprSep,B9CgarffDOMSep,-28.65,172.82,7.67,31.74,B9,34100
26,Logan,AcidDissolvedOrganic,DOM,LR_HWY252,2014,Sep,140913,Yes,BiofilmDOMAprSep,C7Hwy 252DOMSep,-25.66,115.4,2.92,30.67,C7,32710
34,Provo,AcidDissolvedOrganic,DOM,PR_BJ_AA,2014,Sep,140903,Yes,BiofilmDOMAprSep,B10BelJordDOMSep,-26.02,705.24,4.22,65.78,B10,27590
36,Provo,AcidDissolvedOrganic,DOM,PR_CanyonView,2014,Sep,140903,Yes,BiofilmDOMAprSep,B11CanViewDOMSep,-30.54,442.59,3.23,67.11,B11,42600
