"","Date","SiteCode","Time","Effort","Nutrients","DOM","Ecoli","AnionsCations","TN.TP","Sampler","Notes","NumericDate","Watershed","DataValue","LocalDateTime","VariableCode","CensorCode","QualifierCode","MethodID","SampleType","LabSampleCode","LabMethodID","SourceID","LabSampleCode.1","CollectionDateTime","SiteCode.1","CollectorName","CollectionNotes","AnalysisDateTime","LaboratoryName","AnalystName","LabMethodID.1","InstrumentName","LabReportFileName","AnalysisNotes"
"1","14-Oct-14","LR_Franklin_BA","14:13","2nd Oct","101414-2","Site Code","ECD822","434","D822","Dane","",NA,"Logan","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","52",14,1,"52","14-10-14 0:00","LR_Franklin_BA","Chris Cox","","2-18-15 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah 2nd Oct. RB, LR",NA
"2","14-Oct-14","LR_MainSt_BA","11:18","2nd Oct","E786","Site Code","EC14","D814","14","Dane","",NA,"Logan","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","60",14,1,"60","14-10-14 0:00","LR_MainSt_BA","Chris Cox","","2-18-15 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah 2nd Oct. RB, LR",NA
"3","14-Oct-14","LR_Mendon_AA","10:40","2nd Oct","97","Site Code","ECD701","E877","D701","Dane","",NA,"Logan","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","239",14,1,"239","14-10-14 0:00","LR_Mendon_AA","Chris Cox","","2-18-15 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah 2nd Oct. RB, LR",NA
"4","14-Oct-14","LR_TonyGrove_BA","13:13","2nd Oct","4069","Site Code","EC1681","101414-1","1681","Dane","",NA,"Logan","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","29",14,1,"29","14-10-14 0:00","LR_TonyGrove_BA","Chris Cox","","2-18-15 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah 2nd Oct. RB, LR",NA
"5","14-Oct-14","LR_WaterLab_AA","12:14","2nd Oct","1310","Site Code","EC1761","597","1761","Dane","",NA,"Logan","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","746",14,1,"746","14-10-14 0:00","LR_WaterLab_AA","Chris Cox","","2-18-15 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah 2nd Oct. RB, LR",NA
"6","14-Oct-14","PR_BJ_AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Provo","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","108",14,1,"108","14-10-14 0:00","PR_BJ_AA","Joe Crawford","","11-17-14 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah Provo 2nd Sep, 1st Oct, 2nd Oct",NA
"7","14-Oct-14","PR_CH_AA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Provo","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","27",14,1,"27","14-10-14 0:00","PR_CH_AA","Joe Crawford","","11-17-14 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah Provo 2nd Sep, 1st Oct, 2nd Oct",NA
"8","14-Oct-14","PR_LM_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Provo","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","646",14,1,"646","14-10-14 0:00","PR_LM_BA","Joe Crawford","","11-17-14 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah Provo 2nd Sep, 1st Oct, 2nd Oct",NA
"9","14-Oct-14","PR_ST_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Provo","NA","10-14-14 0:00","Chlorophyll","nc",NA,8,"Pump","46",14,1,"46","14-10-14 0:00","PR_ST_BA","Joe Crawford","","11-17-14 0:00","USU Aquatic Biogeochemistry Laboratory","Hayden Campbell",14,"Turner Designs Aquaflor","JK Chlorophyll iUtah Provo 2nd Sep, 1st Oct, 2nd Oct",NA
"10","16-Apr-15","LR_Franklin_BA","15:36","2nd Apr","LR_150416_1","Site Code","","LR_150416_2","LR_150416_3","Dane","E. Coli not taken due to lab not being available for processing",150416,"Logan River","NA","16-Apr-15","Chlorophyll","nc",NA,8,"Pump","291",14,1,"291","16-04-15 0:00","LR_Franklin_BA","Chris Cox/Dane Brophy","","06-06-15 0:00","USU Aquatic Biogeochemistry Laboratory","Eric Breton",14,"Turner Designs Aquaflor","Chla Data Entry as of 01Jun15",NA
